"item","condition","spelling","correct_response"
1,"corr","一心一意","true"
10,"sameT","咬牙切侈","false"
11,"corr","因地制宜","true"
12,"sameT","大吃一晶","false"
13,"corr","大同小异","true"
14,"noP","天涯海重","false"
15,"corr","如火如荼","true"
16,"corr","安居乐业","true"
17,"noP","对症下语","false"
18,"corr","应有尽有","true"
19,"corr","弄虚作假","true"
2,"noP","不知不药","false"
20,"corr","引人入胜","true"
21,"sameT","得心应守","false"
22,"noP","心平气帜","false"
23,"noP","心旷神吓","false"
24,"corr","心满意足","true"
25,"corr","心甘情愿","true"
26,"corr","志同道合","true"
27,"sameT","情有独衷","false"
28,"noP","惊天动违","false"
29,"noP","我行我姚","false"
3,"noP","全心全酸","false"
30,"sameT","扑朔迷梨","false"
31,"noP","日新月汁","false"
32,"sameT","有的放史","false"
33,"noP","标本兼鱼","false"
34,"sameT","根深蒂故","false"
35,"sameT","欢天喜弟","false"
36,"sameT","求真务时","false"
37,"noP","游刃有沽","false"
38,"noP","独树一终","false"
39,"corr","琳琅满目","true"
4,"sameT","再接再立","false"
40,"sameT","甜言蜜俣","false"
41,"noP","精打细疑","false"
42,"noP","耐人寻邸","false"
43,"corr","自始至终","true"
44,"corr","自欺欺人","true"
45,"noP","自言自直","false"
46,"corr","舞文弄墨","true"
47,"noP","若隐若侈","false"
48,"corr","见义勇为","true"
49,"sameT","谈天说弟","false"
5,"sameT","冰天雪弟","false"
50,"sameT","赏心悦木","false"
51,"sameT","铺天盖帝","false"
52,"noP","风花雪止","false"
53,"noP","风起云惊","false"
54,"corr","齐心协力","true"
6,"sameT","千方百忌","false"
7,"corr","原汁原味","true"
8,"sameT","反腐倡联","false"
9,"sameT","叹为观旨","false"
