"item","condition","spelling","correct_response"
1,"corr","一心一意","true"
10,"sameT","咬牙切侈","false"
11,"diffT","因地制易","false"
12,"sameT","大吃一晶","false"
13,"diffT","大同小仪","false"
14,"corr","天涯海角","true"
15,"diffT","如火如兔","false"
16,"corr","安居乐业","true"
17,"corr","对症下药","true"
18,"diffT","应有尽优","false"
19,"corr","弄虚作假","true"
2,"corr","不知不觉","true"
20,"diffT","引人入绳","false"
21,"diffT","得心应收","false"
22,"sameT","心平气河","false"
23,"diffT","心旷神异","false"
24,"diffT","心满意诅","false"
25,"corr","心甘情愿","true"
26,"corr","志同道合","true"
27,"corr","情有独钟","true"
28,"corr","惊天动地","true"
29,"sameT","我行我速","false"
3,"corr","全心全意","true"
30,"sameT","扑朔迷梨","false"
31,"corr","日新月异","true"
32,"diffT","有的放石","false"
33,"corr","标本兼治","true"
34,"sameT","根深蒂故","false"
35,"sameT","欢天喜弟","false"
36,"diffT","求真务式","false"
37,"diffT","游刃有雨","false"
38,"sameT","独树一质","false"
39,"diffT","琳琅满母","false"
4,"sameT","再接再立","false"
40,"corr","甜言蜜语","true"
41,"corr","精打细算","true"
42,"corr","耐人寻味","true"
43,"diffT","自始至重","false"
44,"sameT","自欺欺壬","false"
45,"diffT","自言自鱼","false"
46,"sameT","舞文弄磨","false"
47,"sameT","若隐若限","false"
48,"corr","见义勇为","true"
49,"diffT","谈天说邸","false"
5,"sameT","冰天雪弟","false"
50,"sameT","赏心悦木","false"
51,"sameT","铺天盖帝","false"
52,"diffT","风花雪曰","false"
53,"diffT","风起云庸","false"
54,"diffT","齐心协礼","false"
6,"sameT","千方百忌","false"
7,"corr","原汁原味","true"
8,"sameT","反腐倡联","false"
9,"sameT","叹为观旨","false"
