Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;Frequency;Frequency_Percentage;Sem_Distance;Levenshtein_Distance;Relative_Frequency
1;corr;4.711;4.646;1;0.407;一心一意;yi1 xin1 yi1 yi4;yī xīn yī yì;Wholeheartedly;one heart one mind;意;13;NA;360232;0.186163%;NA;0;0.0018616254263
1;diffT;4.711;NA;1;NA;一心一疑;yi1 xin1 yi1 yi2;NA;NA;one heart one doubt;疑;14;1;53982;0.027897%;0.3851398229599;0.7;0.000278970951394
1;sameT;4.711;NA;1;NA;一心一裔;yi1 xin1 yi1 yi4;NA;NA;one heart one posterity/descendants;裔;13;0;2350;0.001214%;0.636198043823242;0.555555555555556;0.000012144450665
1;noP;4.711;NA;1;NA;一心一酸;yi1 xin1 yi1 suan1;NA;NA;one heart one sour;酸;14;1;14855;0.007677%;0.594253271818161;1;0.000076768431754
2;corr;4.735;4.333;0.692;0.407;不知不觉;bu4 zhi1 bu4 jue2;bù zhī bù jué;Without realizing;not know not notice;觉;9;NA;132041;0.068237%;NA;0;0.000682368259661
2;diffT;4.735;NA;0.692;NA;不知不绝;bu4 zhi1 bu4 jue4;NA;NA;not know not break;绝;9;0;72074;0.037247%;0.571452289819717;1;0.000372467717957
2;sameT;4.735;NA;0.692;NA;不知不珏;bu4 zhi1 bu4 jue2;NA;NA;not know not jade;珏;9;0;172;0.000089%;0.681798189878464;1;0.000000888870432
2;noP;4.735;NA;0.692;NA;不知不药;bu4 zhi1 bu4 yao4;NA;NA;not know not medicine;药;9;0;59090;0.030537%;0.634170442819595;1;0.000305368336072
3;corr;4.574;4.373;1;0.704;全心全意;quan2 xin1 quan2 yi4;quán xīn quán yì;With great purpose;all heart all mind;意;13;NA;360232;0.186163%;NA;0;0.0018616254263
3;diffT;4.574;NA;1;NA;全心全疑;quan2 xin1 quan2 yi2;NA;NA;all heart all doubt;疑;14;1;53982;0.027897%;0.3851398229599;0.7;0.000278970951394
3;sameT;4.574;NA;1;NA;全心全裔;quan2 xin1 quan2 yi4;NA;NA;all heart all posterity/descendants;裔;13;0;2350;0.001214%;0.636198043823242;0.555555555555556;0.000012144450665
3;noP;4.574;NA;1;NA;全心全酸;quan2 xin1 quan2 suan1;NA;NA;all heart all sour;酸;14;1;14855;0.007677%;0.594253271818161;1;0.000076768431754
4;corr;4.93;4.246;1;0.815;再接再厉;zai4 jie1 zai4 li4;zài jiē zài lì;To persevere;again continue again dedicate;厉;5;NA;17726;0.009161%;NA;0;0.00009160533297
4;diffT;4.93;NA;1;NA;再接再礼;zai4 jie1 zai4 li3;NA;NA;again continue again gift;礼;5;0;35612;0.018404%;0.614800751209259;1;0.000184037522156
4;sameT;4.93;NA;1;NA;再接再立;zai4 jie1 zai4 li4;NA;NA;again continue again stand;立;5;0;204985;0.105933%;0.570423543453217;0.5;0.001059332008289
4;noP;4.93;NA;1;NA;再接再史;zai4 jie1 zai4 shi3;NA;NA;again continue again history;史;5;0;90469;0.046753%;0.660531729459763;1;0.000467530343478
5;corr;4.63;4.784;1;0.704;冰天雪地;bing1 tian1 xue3 di4;bīng tiān xuě dì;Very cold;ice sky snow earth;地;6;NA;969349;0.500945%;NA;0;0.005009451535006
5;diffT;4.63;NA;1;NA;冰天雪邸;bing1 tian1 xue3 di3;NA;NA;ice sky snow residence;邸;7;1;1521;0.000786%;0.837331354618073;0.6;0.000007860301898
5;sameT;4.63;NA;1;NA;冰天雪弟;bing1 tian1 xue3 di4;NA;NA;ice sky snow little brother;弟;7;1;42706;0.022070%;0.723620921373367;0.833333333333333;0.000220698259609
5;noP;4.63;NA;1;NA;冰天雪诅;bing1 tian1 xue3 zu3;NA;NA;ice sky snow curse;诅;7;1;1535;0.000793%;0.800526738166809;0.75;0.000007932651817
6;corr;4.67;4.293;1;0.815;千方百计;qian1 fang1 bai3 ji4;qiān fāng bǎi jì;Try everything;thousand methods hundred plans;计;4;NA;171949;0.088861%;NA;0;0.000888606871202
6;diffT;4.67;NA;1;NA;千方百吉;qian1 fang1 bai3 ji2;NA;NA;thousand methods hundred lucky;吉;6;2;40081;0.020713%;0.636153876781464;0.75;0.000207132649824
6;sameT;4.67;NA;1;NA;千方百忌;qian1 fang1 bai3 ji4;NA;NA;thousand methods hundred fear;忌;7;3;7938;0.004102%;0.640032649040222;1;0.00004102240399
6;noP;4.67;NA;1;NA;千方百有;qian1 fang1 bai3 you3;NA;NA;thousand methods hundred exist;有;6;2;1782004;0.920913%;0.692356765270233;1;0.009209131771104
7;corr;4.825;4.439;1;0.593;原汁原味;yuan2 zhi1 yuan2 wei4;yuán zhī yuán wèi;Authentic;original juice original taste;味;8;NA;40704;0.021035%;NA;0;0.000210352221213
7;diffT;4.825;NA;1;NA;原汁原违;yuan2 zhi1 yuan2 wei2;NA;NA;original juice original disobey;违;7;-1;22751;0.011757%;0.673227787017822;1;0.000117573785987
7;sameT;4.825;NA;1;NA;原汁原畏;yuan2 zhi1 yuan2 wei4;NA;NA;original juice original fear;畏;9;1;6722;0.003474%;0.626778274774551;1;0.000034738296752
7;noP;4.825;NA;1;NA;原汁原角;yuan2 zhi1 yuan2 jiao3;NA;NA;original juice original corner;角;7;-1;50081;0.025881%;0.669479876756668;1;0.000258811163291
8;corr;4.737;4.737;0.867;0.63;反腐倡廉;fan3 fu3 chang4 lian2;fǎn fǔ chàng lián;Fight against corruption;contrast corruption promote honesty;廉;13;NA;8854;0.004576%;NA;0;0.000045756155823
8;diffT;4.737;NA;0.867;NA;反腐倡链;fan3 fu3 chang4 lian4;NA;NA;contrast corruption promote chain;链;12;-1;6223;0.003216%;0.763892531394958;1;0.00003215953893
8;sameT;4.737;NA;0.867;NA;反腐倡联;fan3 fu3 chang4 lian2;NA;NA;contrast corruption promote ally;联;12;-1;120301;0.062170%;0.526011526584625;0.625;0.000621697684851
8;noP;4.737;NA;0.867;NA;反腐倡晶;fan3 fu3 chang4 jing1;NA;NA;contrast corruption promote crystal;晶;12;-1;10038;0.005187%;0.697775542736053;0.833333333333333;0.000051874891817
9;corr;4.074;3.431;0.923;0.815;叹为观止;tan4 wei2 guan1 zhi3;tàn wéi guān zhǐ;To admire something;sigh consider see stop;止;4;NA;68082;0.035184%;NA;0;0.000351837655381
9;diffT;4.074;NA;0.923;NA;叹为观汁;tan4 wei2 guan1 zhi1;NA;NA;sigh consider see juice;汁;5;1;3564;0.001842%;0.760334640741348;1;0.000018418222199
9;sameT;4.074;NA;0.923;NA;叹为观旨;tan4 wei2 guan1 zhi3;NA;NA;sigh consider see purpose;旨;6;2;10590;0.005473%;0.733427315950394;1;0.000054727545761
9;noP;4.074;NA;0.923;NA;叹为观乐;tan4 wei2 guan1 yue4;NA;NA;sigh consider see music;乐;5;1;64965;0.033573%;0.636114239692688;1;0.000335729462734
10;corr;4.505;3.768;1;0.704;咬牙切齿;yao3 ya2 qie4 chi3;yǎo yá qiè chǐ;To be furious;bite mouth tighten teeth;齿;8;NA;9415;0.004866%;NA;0;0.000048655320429
10;diffT;4.505;NA;1;NA;咬牙切蚩;yao3 ya2 qie4 chi1;NA;NA;bite mouth tighten ignorant;蚩;10;2;343;0.000177%;0.57639616727829;1;0.000001772573012
10;sameT;4.505;NA;1;NA;咬牙切侈;yao3 ya2 qie4 chi3;NA;NA;bite mouth tighten extravagant;侈;8;0;1703;0.000880%;0.583285301923752;1;0.000008800850843
10;noP;4.505;NA;1;NA;咬牙切莉;yao3 ya2 qie4 li4;NA;NA;bite mouth tighten jasmine;莉;10;2;8289;0.004284%;0.67440602183342;1;0.000042836319812
11;corr;4.641;3.712;1;0.667;因地制宜;yin1 di4 zhi4 yi2;yīn dì zhì yí;Best according to circumstances;depending earth establish best;宜;8;NA;18833;0.009733%;NA;0;0.000097326144411
11;diffT;4.641;NA;1;NA;因地制易;yin1 di4 zhi4 yi4;NA;NA;depending earth establish change;易;8;0;89730;0.046371%;0.378058791160583;0.75;0.000463711301333
11;sameT;4.641;NA;1;NA;因地制怡;yin1 di4 zhi4 yi2;NA;NA;depending earth establish harmony;怡;8;0;3649;0.001886%;0.639594346284866;0.75;0.000018857489564
11;noP;4.641;NA;1;NA;因地制诃;yin1 di4 zhi4 he1;NA;NA;depending earth establish scold;诃;8;0;814;0.000421%;0.694269895553589;0.8;0.000004206630996
12;corr;4.85;4.257;1;0.444;大吃一惊;da4 chi1 yi1 jing1;dà chī yī jīng;To be surprised;big eat one shock;惊;11;NA;59724;0.030864%;NA;0;0.000308644753826
12;diffT;4.85;NA;1;NA;大吃一颈;da4 chi1 yi1 jing3;NA;NA;big eat one neck;颈;11;0;6104;0.003154%;0.784063398838043;0.692307692307692;0.00003154456462
12;sameT;4.85;NA;1;NA;大吃一晶;da4 chi1 yi1 jing1;NA;NA;big eat one crystal;晶;12;1;10038;0.005187%;0.710692077875137;0.846153846153846;0.000051874891817
12;noP;4.85;NA;1;NA;大吃一绳;da4 chi1 yi1 shen2;NA;NA;big eat one rope;绳;11;0;7256;0.003750%;0.745548665523529;0.6;0.000037497929371
13;corr;4.848;4.765;1;0.741;大同小异;da4 tong2 xiao3 yi4;dà tóng xiǎo yì;Similar;big equal small different;异;6;NA;52735;0.027253%;NA;0;0.000272526640765
13;diffT;4.848;NA;1;NA;大同小仪;da4 tong2 xiao3 yi2;NA;NA;big equal small ceremony;仪;5;-1;19064;0.009852%;0.605431348085403;0.833333333333333;0.000098519918072
13;sameT;4.848;NA;1;NA;大同小亦;da4 tong2 xiao3 yi4;NA;NA;big equal small also;亦;6;0;37960;0.019617%;0.503051906824112;0.6;0.000196171637118
13;noP;4.848;NA;1;NA;大同小母;da4 tong2 xiao3 mu3;NA;NA;big equal small mother;母;5;-1;71462;0.036930%;0.554576516151428;1;0.000369304992933
14;corr;4.598;4.671;1;0.667;天涯海角;tian1 ya2 hai3 jiao3;tiān yá hǎi jiǎo;Opposites;sky edge sea corner;角;7;NA;50081;0.025881%;NA;0;0.000258811163291
14;diffT;4.598;NA;1;NA;天涯海娇;tian1 ya2 hai3 jiao1;NA;NA;sky edge sea lovable;娇;9;2;5772;0.002983%;0.705264806747437;1;0.000029828837973
14;sameT;4.598;NA;1;NA;天涯海狡;tian1 ya2 hai3 jiao3;NA;NA;sky edge sea crafty;狡;9;2;2971;0.001535%;0.691152095794678;1;0.000015353686351
14;noP;4.598;NA;1;NA;天涯海重;tian1 ya2 hai3 zhong4;NA;NA;sky edge sea heavy;重;9;2;282843;0.146169%;0.664413660764694;1;0.001461690578435
15;corr;4.391;3.922;1;0.852;如火如荼;ru2 huo3 ru2 tu2;rú huǒ rú tú;Full expansion;like fire like grass;荼;10;NA;616;0.000318%;NA;0;0.00000318339643
15;diffT;4.391;NA;1;NA;如火如兔;ru2 huo3 ru2 tu4;NA;NA;like fire like rabbit;兔;8;-2;4418;0.002283%;0.657609552145004;0.833333333333333;0.000022831567249
15;sameT;4.391;NA;1;NA;如火如徒;ru2 huo3 ru2 tu2;NA;NA;like fire like apprentice;徒;10;0;27812;0.014373%;0.57129693031311;0.571428571428571;0.000143728281653
15;noP;4.391;NA;1;NA;如火如诃;ru2 huo3 ru2 he1;NA;NA;like fire like scold;诃;8;-2;814;0.000421%;0.428925037384033;0.714285714285714;0.000004206630996
