汉字,频率,百分比,Relative_Frequency
意,360232,0.186163%,0.0018616254263
疑,53982,0.027897%,0.000278970951394
裔,2350,0.001214%,0.000012144450665
酸,14855,0.007677%,0.000076768431754
觉,132041,0.068237%,0.000682368259661
绝,72074,0.037247%,0.000372467717957
珏,172,0.000089%,0.000000888870432
药,59090,0.030537%,0.000305368336072
厉,17726,0.009161%,0.00009160533297
礼,35612,0.018404%,0.000184037522156
立,204985,0.105933%,0.001059332008289
史,90469,0.046753%,0.000467530343478
地,969349,0.500945%,0.005009451535006
邸,1521,0.000786%,0.000007860301898
弟,42706,0.022070%,0.000220698259609
诅,1535,0.000793%,0.000007932651817
计,171949,0.088861%,0.000888606871202
吉,40081,0.020713%,0.000207132649824
忌,7938,0.004102%,0.00004102240399
有,1782004,0.920913%,0.009209131771104
味,40704,0.021035%,0.000210352221213
违,22751,0.011757%,0.000117573785987
畏,6722,0.003474%,0.000034738296752
角,50081,0.025881%,0.000258811163291
廉,8854,0.004576%,0.000045756155823
链,6223,0.003216%,0.00003215953893
联,120301,0.062170%,0.000621697684851
晶,10038,0.005187%,0.000051874891817
止,68082,0.035184%,0.000351837655381
汁,3564,0.001842%,0.000018418222199
旨,10590,0.005473%,0.000054727545761
乐,64965,0.033573%,0.000335729462734
齿,9415,0.004866%,0.000048655320429
蚩,343,0.000177%,0.000001772573012
侈,1703,0.000880%,0.000008800850843
莉,8289,0.004284%,0.000042836319812
宜,18833,0.009733%,0.000097326144411
易,89730,0.046371%,0.000463711301333
怡,3649,0.001886%,0.000018857489564
诃,814,0.000421%,0.000004206630996
惊,59724,0.030864%,0.000308644753826
颈,6104,0.003154%,0.00003154456462
绳,7256,0.003750%,0.000037497929371
异,52735,0.027253%,0.000272526640765
仪,19064,0.009852%,0.000098519918072
亦,37960,0.019617%,0.000196171637118
母,71462,0.036930%,0.000369304992933
娇,5772,0.002983%,0.000029828837973
狡,2971,0.001535%,0.000015353686351
重,282843,0.146169%,0.001461690578435
荼,616,0.000318%,0.00000318339643
兔,4418,0.002283%,0.000022831567249
徒,27812,0.014373%,0.000143728281653
业,296169,0.153056%,0.001530557365481
爷,30930,0.015984%,0.000159841642151
叶,36032,0.018621%,0.000186208019722
姚,4806,0.002484%,0.000024836693572
钥,3772,0.001949%,0.000019493135279
语,82805,0.042792%,0.000427923930758
优,46613,0.024089%,0.000240889054821
卣,118,0.000061%,0.000000609806459
收,120897,0.062478%,0.000624777724254
假,62691,0.032398%,0.000323977768772
颊,3025,0.001563%,0.000015632750324
胛,247,0.000128%,0.000001276459283
缘,19330,0.009989%,0.00009989456653
胜,49565,0.025614%,0.000256144551996
盛,24387,0.012603%,0.00012602839079
梨,1884,0.000974%,0.000009736231937
手,280442,0.144928%,0.001449282567352
守,44264,0.022875%,0.000228749772007
和,1010465,0.522193%,0.005221932910974
河,69687,0.036013%,0.000360132056793
帜,2452,0.001267%,0.000012671571502
夷,4638,0.002397%,0.000023968494546
吓,14620,0.007555%,0.000075553986688
足,77385,0.039991%,0.000399914176459
卒,3306,0.001708%,0.000017084916552
愿,67915,0.035097%,0.000350974624207
媛,535,0.000276%,0.00000276480047
合,239277,0.123655%,0.001236547966668
何,184335,0.095262%,0.000952615877981
钟,36770,0.019002%,0.000190021894016
衷,5781,0.002988%,0.000029875348635
素,59100,0.030542%,0.000305420014586
俗,17463,0.009025%,0.000090246188066
速,65094,0.033640%,0.000336396115558
离,100744,0.052063%,0.000520630016065
矢,2466,0.001274%,0.000012743921421
石,102149,0.052789%,0.000527890847207
治,156904,0.081086%,0.000810856547692
直,169439,0.087564%,0.000875635564322
质,104560,0.054035%,0.000540350536804
鱼,40452,0.020905%,0.000209049922674
固,37582,0.019422%,0.000194218189309
沽,1043,0.000539%,0.000005390068955
故,70067,0.036210%,0.000362095840304
籴,106,0.000055%,0.000000547792243
实,368494,0.190432%,0.001904322214126
式,142292,0.073534%,0.000735343903815
时,833532,0.430757%,0.004307569468661
余,50601,0.026150%,0.000261498445991
雨,35370,0.018279%,0.00018278690213
终,72533,0.037484%,0.000374839761725
目,180827,0.093449%,0.000934487055457
木,54433,0.028130%,0.000281301652351
俣,197,0.000102%,0.000001018066715
算,105293,0.054414%,0.000544138571841
蒜,1091,0.000564%,0.000005638125819
人,1867999,0.965354%,0.009653541147657
刃,2858,0.001477%,0.000014769719149
壬,564,0.000291%,0.00000291466816
力,359136,0.185596%,0.001855961461224
墨,13959,0.007214%,0.000072138036948
模,54891,0.028367%,0.000283668528268
磨,13082,0.006761%,0.000067605831317
现,433960,0.224264%,0.002242640770384
贤,7713,0.003986%,0.000039859637437
限,66018,0.034117%,0.000341171210202
为,1039036,0.536958%,0.005369583591799
未,110491,0.057100%,0.000571001063141
韦,10882,0.005624%,0.000056236558354
帝,66035,0.034126%,0.000341259063675
月,240566,0.124321%,0.001243209327054
曰,11075,0.005723%,0.000057233953664
涌,11228,0.005802%,0.00005802463492
庸,5835,0.003015%,0.000030154412608
勇,21819,0.011276%,0.000112757348532
