"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Frequency","Frequency_Percentage","Sem_Distance","Levenshtein_Distance","logFrequency","Group","List","correct_response"
1,"corr",4.711,4.646,1,0.407,"一心一意","yi1 xin1 yi1 yi4","yī xīn yī yì","Wholeheartedly","one heart one mind","意",13,NA,360232,"0.186163%",NA,0,12.7945035473116,"G2","L3","true"
1,"diffT",4.711,NA,1,NA,"一心一疑","yi1 xin1 yi1 yi2",NA,NA,"one heart one doubt","疑",14,1,53982,"0.027897%",0.3851398229599,0.7,10.8964059366452,"G2","L1","false"
1,"sameT",4.711,NA,1,NA,"一心一裔","yi1 xin1 yi1 yi4",NA,NA,"one heart one posterity/descendants","裔",13,0,2350,"0.001214%",0.636198043823242,0.555555555555556,7.7621706071382,"G2","L2","false"
10,"corr",4.505,3.768,1,0.704,"咬牙切齿","yao3 ya2 qie4 chi3","yǎo yá qiè chǐ","To be furious","bite mouth tighten teeth","齿",8,NA,9415,"0.004866%",NA,0,9.15005944109125,"G1","L1","true"
10,"diffT",4.505,NA,1,NA,"咬牙切蚩","yao3 ya2 qie4 chi1",NA,NA,"bite mouth tighten ignorant","蚩",10,2,343,"0.000177%",0.57639616727829,1,5.83773044716594,"G1","L2","false"
10,"sameT",4.505,NA,1,NA,"咬牙切侈","yao3 ya2 qie4 chi3",NA,NA,"bite mouth tighten extravagant","侈",8,0,1703,"0.000880%",0.583285301923752,1,7.44014668066269,"G1","L3","false"
11,"corr",4.641,3.712,1,0.667,"因地制宜","yin1 di4 zhi4 yi2","yīn dì zhì yí","Best according to circumstances","depending earth establish best","宜",8,NA,18833,"0.009733%",NA,0,9.84336592919475,"G3","L2","true"
11,"diffT",4.641,NA,1,NA,"因地制易","yin1 di4 zhi4 yi4",NA,NA,"depending earth establish change","易",8,0,89730,"0.046371%",0.378058791160583,0.75,11.4045604402921,"G3","L3","false"
11,"sameT",4.641,NA,1,NA,"因地制怡","yin1 di4 zhi4 yi2",NA,NA,"depending earth establish harmony","怡",8,0,3649,"0.001886%",0.639594346284866,0.75,8.20220843643645,"G3","L1","false"
12,"corr",4.85,4.257,1,0.444,"大吃一惊","da4 chi1 yi1 jing1","dà chī yī jīng","To be surprised","big eat one shock","惊",11,NA,59724,"0.030864%",NA,0,10.9974892286466,"G1","L1","true"
