Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff
1;corr;4.711;4.646;1;0.407;一心一意;yi1 xin1 yi1 yi4;yī xīn yī yì;Wholeheartedly;one heart one mind;意;13;NA
1;diffT;4.711;NA;1;NA;一心一疑;yi1 xin1 yi1 yi2;NA;NA;one heart one doubt;疑;14;1
1;sameT;4.711;NA;1;NA;一心一裔;yi1 xin1 yi1 yi4;NA;NA;one heart one posterity/descendants;裔;13;0
1;noP;4.711;NA;1;NA;一心一酸;yi1 xin1 yi1 suan1;NA;NA;one heart one sour;酸;14;1
2;corr;4.735;4.333;0.692;0.407;不知不觉;bu4 zhi1 bu4 jue2;bù zhī bù jué;Without realizing;not know not notice;觉;9;NA
2;diffT;4.735;NA;0.692;NA;不知不绝;bu4 zhi1 bu4 jue4;NA;NA;not know not break;绝;9;0
2;sameT;4.735;NA;0.692;NA;不知不珏;bu4 zhi1 bu4 jue2;NA;NA;not know not jade;珏;9;0
2;noP;4.735;NA;0.692;NA;不知不药;bu4 zhi1 bu4 yao4;NA;NA;not know not medicine;药;9;0
3;corr;4.574;4.373;1;0.704;全心全意;quan2 xin1 quan2 yi4;quán xīn quán yì;With great purpose;all heart all mind;意;13;NA
3;diffT;4.574;NA;1;NA;全心全疑;quan2 xin1 quan2 yi2;NA;NA;all heart all doubt;疑;14;1
3;sameT;4.574;NA;1;NA;全心全裔;quan2 xin1 quan2 yi4;NA;NA;all heart all posterity/descendants;裔;13;0
3;noP;4.574;NA;1;NA;全心全酸;quan2 xin1 quan2 suan1;NA;NA;all heart all sour;酸;14;1
4;corr;4.930;4.246;1;0.815;再接再厉;zai4 jie1 zai4 li4;zài jiē zài lì;To persevere;again continue again dedicate;厉;5;NA
4;diffT;4.930;NA;1;NA;再接再礼;zai4 jie1 zai4 li3;NA;NA;again continue again gift;礼;5;0
4;sameT;4.930;NA;1;NA;再接再立;zai4 jie1 zai4 li4;NA;NA;again continue again stand;立;5;0
