"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Visual_Distance_SVG","Sem_Distance","JunDa_Occurences","Levhenstein_Distance","Frequency","logf","Group","List","correct_response"
"1","corr","4.711","4.646","1","0.407","一心一意","yi1 xin1 yi1 yi4","yī xīn yī yì","Wholeheartedly","one heart one mind","意","13",NA,NA,NA,"360232","0","0.00186162542629993","-6.28630528776482","G2","L2","true"
"1","diffT","4.711",NA,"1",NA,"一心一疑","yi1 xin1 yi1 yi2",NA,NA,"one heart one doubt","疑","14","-1","55.03","0.385139882564545","53982","0.7","0.000278970951393888","-8.18440289843123","G2","L1","false"
"1","sameT","4.711",NA,"1",NA,"一心一裔","yi1 xin1 yi1 yi4",NA,NA,"one heart one posterity/descendants","裔","13","0","49.5","0.636198043823242","2350","0.555555555555556","1.21444506645852e-05","-11.3186382279382","G2","L3","false"
"10","corr","4.505","3.768","1","0.704","咬牙切齿","yao3 ya2 qie4 chi3","yǎo yá qiè chǐ","To be furious","bite mouth tighten teeth","齿","8",NA,NA,NA,"9415","0","4.86553204285401e-05","-9.93074939398515","G1","L1","true"
"10","diffT","4.505",NA,"1",NA,"咬牙切蚩","yao3 ya2 qie4 chi1",NA,NA,"bite mouth tighten ignorant","蚩","10","-2","47.86","0.57639616727829","343","1","1.77257301189477e-06","-13.2430783879105","G1","L3","false"
"10","sameT","4.505",NA,"1",NA,"咬牙切侈","yao3 ya2 qie4 chi3",NA,NA,"bite mouth tighten extravagant","侈","8","0","63.65","0.583285331726074","1703","1","8.80085084331427e-06","-11.6406621544137","G1","L2","false"
"11","corr","4.641","3.712","1","0.667","因地制宜","yin1 di4 zhi4 yi2","yīn dì zhì yí","Best according to circumstances","depending earth establish best","宜","8",NA,NA,NA,"18833","0","9.73261444111202e-05","-9.23744290588166","G3","L3","true"
"11","diffT","4.641",NA,"1",NA,"因地制易","yin1 di4 zhi4 yi4",NA,NA,"depending earth establish change","易","8","0","78.94","0.378058791160583","89730","0.75","0.000463711301333288","-7.6762483947843","G3","L2","false"
"11","sameT","4.641",NA,"1",NA,"因地制怡","yin1 di4 zhi4 yi2",NA,NA,"depending earth establish harmony","怡","8","0","71.82","0.639594376087189","3649","0.75","1.88574895638601e-05","-10.87860039864","G3","L1","false"
"12","corr","4.85","4.257","1","0.444","大吃一惊","da4 chi1 yi1 jing1","dà chī yī jīng","To be surprised","big eat one shock","惊","11",NA,NA,NA,"59724","0","0.000308644753826249","-8.08331960642985","G1","L1","true"
"12","diffT","4.85",NA,"1",NA,"大吃一颈","da4 chi1 yi1 jing3",NA,NA,"big eat one neck","颈","11","0","65.77","0.784063398838043","6104","0.692307692307692","3.15445646198416e-05","-10.3641092621121","G1","L3","false"
"12","sameT","4.85",NA,"1",NA,"大吃一晶","da4 chi1 yi1 jing1",NA,NA,"big eat one crystal","晶","12","-1","61.27","0.710692048072815","10038","0.846153846153846","5.18748918174919e-05","-9.86667566486153","G1","L2","false"
"13","corr","4.848","4.765","1","0.741","大同小异","da4 tong2 xiao3 yi4","dà tóng xiǎo yì","Similar","big equal small different","异","6",NA,NA,NA,"52735","0","0.000272526640764638","-8.20777418436569","G3","L3","true"
"13","diffT","4.848",NA,"1",NA,"大同小仪","da4 tong2 xiao3 yi2",NA,NA,"big equal small ceremony","仪","5","1","87.87","0.605431318283081","19064","0.833333333333333","9.85199180721922e-05","-9.22525181629783","G3","L2","false"
"13","sameT","4.848",NA,"1",NA,"大同小亦","da4 tong2 xiao3 yi4",NA,NA,"big equal small also","亦","6","0","68.15","0.50305187702179","37960","0.6","0.00019617163711815","-8.53652058235254","G3","L1","false"
"14","corr","4.598","4.671","1","0.667","天涯海角","tian1 ya2 hai3 jiao3","tiān yá hǎi jiǎo","Opposites","sky edge sea corner","角","7",NA,NA,NA,"50081","0","0.000258811163290676","-8.25941186145067","G2","L2","true"
"14","diffT","4.598",NA,"1",NA,"天涯海娇","tian1 ya2 hai3 jiao1",NA,NA,"sky edge sea lovable","娇","9","-2","61.67","0.705264806747437","5772","1","2.98288379727598e-05","-10.4200349151826","G2","L1","false"
"14","sameT","4.598",NA,"1",NA,"天涯海狡","tian1 ya2 hai3 jiao3",NA,NA,"sky edge sea crafty","狡","9","-2","58.87","0.691152095794678","2971","1","1.53536863508436e-05","-11.0841549596138","G2","L3","false"
"15","corr","4.391","3.922","1","0.852","如火如荼","ru2 huo3 ru2 tu2","rú huǒ rú tú","Full expansion","like fire like grass","荼","10",NA,NA,NA,"616","0","3.1833964295253e-06","-12.6575618715429","G3","L3","true"
"15","diffT","4.391",NA,"1",NA,"如火如兔","ru2 huo3 ru2 tu4",NA,NA,"like fire like rabbit","兔","8","2","64.17","0.657609581947327","4418","0.833333333333333","2.28315672494201e-05","-10.6873664510963","G3","L2","false"
"15","sameT","4.391",NA,"1",NA,"如火如徒","ru2 huo3 ru2 tu2",NA,NA,"like fire like apprentice","徒","10","0","53.44","0.57129693031311","27812","0.571428571428571","0.000143728281652529","-8.8475859738575","G3","L1","false"
"16","corr","4.706","4.412","1","0.704","安居乐业","an1 ju1 le4 ye4","ān jū lè yè","To live peacefully","peacefully live enjoy work","业","5",NA,NA,NA,"296169","0","0.00153055736548065","-6.48212331875189","G2","L2","true"
"16","diffT","4.706",NA,"1",NA,"安居乐爷","an1 ju1 le4 ye2",NA,NA,"peacefully live enjoy grandpa","爷","6","-1","97.3","0.726585507392883","30930","0.8","0.000159841642151327","-8.74132696939729","G2","L1","false"
