"Item","Condition","Predictability","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff"
1,"corr",1,"一心一意","yi1 xin1 yi1 yi4","yī xīn yī yì","Wholeheartedly","one heart one mind","意",13,NA
1,"diffT",NA,"一心一疑","yi1 xin1 yi1 yi2",NA,NA,"one heart one doubt","疑",14,-1
1,"sameT",NA,"一心一裔","yi1 xin1 yi1 yi4",NA,NA,"one heart one posterity/descendants","裔",13,0
2,"corr",1,"一模一样","yi1 mu2 yi1 yang4","yī mú yī yàng","Perfectly similar","one model one aspect","样",10,NA
2,"diffT",NA,"一模一洋","yi1 mu2 yi1 yang2",NA,NA,"one model one ocean","洋",10,0
2,"sameT",NA,"一模一烊","yi1 mu2 yi1 yang4",NA,NA,"one model one melt","烊",10,0
3,"corr",0.833,"不折不扣","bu4 zhe2 bu4 kou4","bù zhé bù kòu","Without any detraction, 100%","not bend not remove","扣",6,NA
3,"diffT",NA,"不折不抠","bu4 zhe2 bu4 kou1",NA,NA,"not bend not carve/cut","抠",7,-1
3,"sameT",NA,"不折不叩","bu4 zhe2 bu4 kou4",NA,NA,"not bend not knock","叩",6,0
4,"corr",0.692,"不知不觉","bu4 zhi1 bu4 jue2","bù zhī bù jué","Without realizing","not know not notice","觉",9,NA
4,"diffT",NA,"不知不绝","bu4 zhi1 bu4 jue4",NA,NA,"not know not break","绝",9,0
4,"sameT",NA,"不知不珏","bu4 zhi1 bu4 jue2",NA,NA,"not know not jade","珏",9,0
9,"corr",1,"何去何从","he2 qu4 he2 cong2","hé qù hé cóng","Uncertainty about direction","where go where follow","从",4,NA
9,"diffT",NA,"何去何匆","he2 qu4 he2 cong1",NA,NA,"where go where hurried","匆",5,-1
9,"sameT",NA,"何去何丛","he2 qu4 he2 cong2",NA,NA,"where go where crowd","丛",5,-1
10,"corr",1,"全心全意","quan2 xin1 quan2 yi4","quán xīn quán yì","With great purpose","all heart all mind","意",13,NA
10,"diffT",NA,"全心全疑","quan2 xin1 quan2 yi2",NA,NA,"all heart all doubt","疑",14,-1
10,"sameT",NA,"全心全裔","quan2 xin1 quan2 yi4",NA,NA,"all heart all posterity/descendants","裔",13,0
11,"corr",1,"再接再厉","zai4 jie1 zai4 li4","zài jiē zài lì","To persevere","again continue again dedicate","厉",5,NA
11,"diffT",NA,"再接再礼","zai4 jie1 zai4 li3",NA,NA,"again continue again gift","礼",5,0
11,"sameT",NA,"再接再立","zai4 jie1 zai4 li4",NA,NA,"again continue again stand","立",5,0
12,"corr",1,"冰天雪地","bing1 tian1 xue3 di4","bīng tiān xuě dì","Very cold","ice sky snow earth","地",6,NA
12,"diffT",NA,"冰天雪邸","bing1 tian1 xue3 di3",NA,NA,"ice sky snow residence","邸",7,-1
12,"sameT",NA,"冰天雪弟","bing1 tian1 xue3 di4",NA,NA,"ice sky snow little brother","弟",7,-1
13,"corr",0.933,"出神入化","chu1 shen2 ru4 hua4","chū shén rù huà","To reach a sublime state","exit spirit enter transformation","化",4,NA
