Item,Condition,Familiarity,Compositionality,Predictability,Register,Spelling,Pin_yin,Ur_Pinyin,Fig_Transl,Lit_Transl,Last_char,Strokes,StrokeDiff,Sem_Distance,Levenshtein_Distance,字符频率,字符百分比
1,corr,4711,4.646,1,0.407,一心一意,yi1 xin1 yi1 yi4,yī xīn yī yì,Wholeheartedly,one heart one mind,意,13,,,0.0,360232,0.186163%
1,diffT,4711,,1,,一心一疑,yi1 xin1 yi1 yi2,,,one heart one doubt,疑,14,-1.0,0.385139882564545,0.7,53982,0.027897%
1,sameT,4711,,1,,一心一裔,yi1 xin1 yi1 yi4,,,one heart one posterity/descendants,裔,13,0.0,0.636198043823242,0.5555555555555556,2350,0.001214%
1,noP,4711,,1,,一心一廉,yi1 xin1 yi1 lian2,,,one heart one honest,廉,13,0.0,0.5810637176036835,0.5714285714285714,8854,0.004576%
2,corr,4735,4.333,692,0.407,不知不觉,bu4 zhi1 bu4 jue2,bù zhī bù jué,Without realizing,not know not notice,觉,9,,,0.0,132041,0.068237%
2,diffT,4735,,692,,不知不绝,bu4 zhi1 bu4 jue4,,,not know not break,绝,9,0.0,0.57639616727829,1.0,72074,0.037247%
2,sameT,4735,,692,,不知不珏,bu4 zhi1 bu4 jue2,,,not know not jade,珏,9,0.0,0.583285331726074,1.0,172,0.000089%
2,noP,4735,,692,,不知不药,bu4 zhi1 bu4 yao4,,,not know not medicine,药,9,0.0,0.6341704428195953,1.0,59090,0.030537%
3,corr,4574,4.373,1,0.704,全心全意,quan2 xin1 quan2 yi4,quán xīn quán yì,With great purpose,all heart all mind,意,13,,,0.0,360232,0.186163%
3,diffT,4574,,1,,全心全疑,quan2 xin1 quan2 yi2,,,all heart all doubt,疑,14,-1.0,0.378058791160583,0.7,53982,0.027897%
3,sameT,4574,,1,,全心全裔,quan2 xin1 quan2 yi4,,,all heart all posterity/descendants,裔,13,0.0,0.639594376087189,0.5555555555555556,2350,0.001214%
3,noP,4574,,1,,全心全廉,quan2 xin1 quan2 lian2,,,all heart all honest,廉,13,0.0,0.5810637176036835,0.5714285714285714,8854,0.004576%
4,corr,493,4.246,1,0.815,再接再厉,zai4 jie1 zai4 li4,zài jiē zài lì,To persevere,again continue again dedicate,厉,5,,,0.0,17726,0.009161%
4,diffT,493,,1,,再接再礼,zai4 jie1 zai4 li3,,,again continue again gift,礼,5,0.0,0.784063398838043,1.0,35612,0.018404%
4,sameT,493,,1,,再接再立,zai4 jie1 zai4 li4,,,again continue again stand,立,5,0.0,0.710692048072815,0.5,204985,0.105933%
4,noP,493,,1,,再接再史,zai4 jie1 zai4 shi3,,,again continue again history,史,5,0.0,0.6605317294597626,1.0,90469,0.046753%
5,corr,463,4.784,1,0.704,冰天雪地,bing1 tian1 xue3 di4,bīng tiān xuě dì,Very cold,ice sky snow earth,地,6,,,0.0,969349,0.500945%
5,diffT,463,,1,,冰天雪邸,bing1 tian1 xue3 di3,,,ice sky snow residence,邸,7,-1.0,0.605431318283081,0.6,1521,0.000786%
5,sameT,463,,1,,冰天雪弟,bing1 tian1 xue3 di4,,,ice sky snow little brother,弟,7,-1.0,0.50305187702179,0.8333333333333334,42706,0.022070%
5,noP,463,,1,,冰天雪合,bing1 tian1 xue3 he2,,,ice sky snow together,合,6,0.0,0.6929682791233063,0.6,239277,0.123655%
6,corr,467,4.293,1,0.815,千方百计,qian1 fang1 bai3 ji4,qiān fāng bǎi jì,Try everything,thousand methods hundred plans,计,4,,,0.0,171949,0.088861%
6,diffT,467,,1,,千方百吉,qian1 fang1 bai3 ji2,,,thousand methods hundred lucky,吉,6,-2.0,0.705264806747437,0.75,40081,0.020713%
6,sameT,467,,1,,千方百忌,qian1 fang1 bai3 ji4,,,thousand methods hundred fear,忌,7,-3.0,0.691152095794678,1.0,7938,0.004102%
6,noP,467,,1,,千方百手,qian1 fang1 bai3 shou3,,,thousand methods hundred hands,手,4,0.0,0.6650361716747284,1.0,280442,0.144928%
7,corr,4825,4.439,1,0.593,原汁原味,yuan2 zhi1 yuan2 wei4,yuán zhī yuán wèi,Authentic,original juice original taste,味,8,,,0.0,40704,0.021035%
7,diffT,4825,,1,,原汁原违,yuan2 zhi1 yuan2 wei2,,,original juice original disobey,违,7,1.0,0.657609581947327,1.0,22751,0.011757%
7,sameT,4825,,1,,原汁原畏,yuan2 zhi1 yuan2 wei4,,,original juice original fear,畏,9,-1.0,0.57129693031311,1.0,6722,0.003474%
7,noP,4825,,1,,原汁原齿,yuan2 zhi1 yuan2 chi3,,,original juice original teeth,齿,8,0.0,0.6359907984733582,1.0,9415,0.004866%
