汉字,频率,百分比
意,360232,0.186163%
疑,53982,0.027897%
裔,2350,0.001214%
廉,8854,0.004576%
觉,132041,0.068237%
绝,72074,0.037247%
珏,172,0.000089%
药,59090,0.030537%
厉,17726,0.009161%
礼,35612,0.018404%
立,204985,0.105933%
史,90469,0.046753%
地,969349,0.500945%
邸,1521,0.000786%
弟,42706,0.022070%
合,239277,0.123655%
计,171949,0.088861%
吉,40081,0.020713%
忌,7938,0.004102%
手,280442,0.144928%
味,40704,0.021035%
违,22751,0.011757%
畏,6722,0.003474%
齿,9415,0.004866%
链,6223,0.003216%
联,120301,0.062170%
止,68082,0.035184%
汁,3564,0.001842%
旨,10590,0.005473%
木,54433,0.028130%
蚩,343,0.000177%
侈,1703,0.000880%
兔,4418,0.002283%
宜,18833,0.009733%
易,89730,0.046371%
怡,3649,0.001886%
诃,814,0.000421%
惊,59724,0.030864%
颈,6104,0.003154%
晶,10038,0.005187%
绳,7256,0.003750%
异,52735,0.027253%
仪,19064,0.009852%
亦,37960,0.019617%
角,50081,0.025881%
娇,5772,0.002983%
狡,2971,0.001535%
荼,616,0.000318%
徒,27812,0.014373%
衷,5781,0.002988%
业,296169,0.153056%
爷,30930,0.015984%
叶,36032,0.018621%
矢,2466,0.001274%
姚,4806,0.002484%
钥,3772,0.001949%
语,82805,0.042792%
有,1782004,0.920913%
优,46613,0.024089%
卣,118,0.000061%
收,120897,0.062478%
假,62691,0.032398%
颊,3025,0.001563%
胛,247,0.000128%
梨,1884,0.000974%
胜,49565,0.025614%
盛,24387,0.012603%
俣,197,0.000102%
守,44264,0.022875%
月,240566,0.124321%
和,1010465,0.522193%
河,69687,0.036013%
帜,2452,0.001267%
夷,4638,0.002397%
籴,106,0.000055%
足,77385,0.039991%
诅,1535,0.000793%
卒,3306,0.001708%
愿,67915,0.035097%
缘,19330,0.009989%
媛,535,0.000276%
吓,14620,0.007555%
何,184335,0.095262%
钟,36770,0.019002%
重,282843,0.146169%
素,59100,0.030542%
俗,17463,0.009025%
速,65094,0.033640%
涌,11228,0.005802%
离,100744,0.052063%
莉,8289,0.004284%
石,102149,0.052789%
治,156904,0.081086%
直,169439,0.087564%
质,104560,0.054035%
沽,1043,0.000539%
固,37582,0.019422%
故,70067,0.036210%
实,368494,0.190432%
式,142292,0.073534%
时,833532,0.430757%
雨,35370,0.018279%
余,50601,0.026150%
鱼,40452,0.020905%
终,72533,0.037484%
目,180827,0.093449%
母,71462,0.036930%
算,105293,0.054414%
酸,14855,0.007677%
蒜,1091,0.000564%
贤,7713,0.003986%
人,1867999,0.965354%
刃,2858,0.001477%
壬,564,0.000291%
力,359136,0.185596%
墨,13959,0.007214%
模,54891,0.028367%
磨,13082,0.006761%
现,433960,0.224264%
限,66018,0.034117%
为,1039036,0.536958%
未,110491,0.057100%
韦,10882,0.005624%
帝,66035,0.034126%
曰,11075,0.005723%
乐,64965,0.033573%
庸,5835,0.003015%
勇,21819,0.011276%
