,Unnamed: 0.1,Unnamed: 0,item,decomposition,radical
0,0,0,丩,丩,丨
1,1,1,丬,丬,丨
2,2,2,丫,⿱丷丨,丨
3,3,3,丰,⿻⿱一⿱一一丨,丨
4,4,4,丯,⿻彡丨,丨
5,5,5,丮,⿹⺄&CDP-8BF1;,丨
6,6,6,中,⿻口丨,丨
7,7,7,丱,丱,丨
8,8,8,卡,⿱⿱⺊一卜,丨
9,9,9,串,⿻⿱口口丨,丨
10,10,10,丳,⿻⿱口口&CDP-8BF5;,丨
11,11,11,卥,⿱⺊⿴囗&CDP-89D5;,丨
12,12,12,临,⿰⿰丨丨⿱&CDP-89BC;⿴囗丨,丨
13,13,13,亅,亅,亅
14,14,14,亊,亊,亅
15,15,15,事,事,亅
16,16,16,丢,⿱丿⿱⿱十一厶,丿
17,17,17,乇,⿱丿⿻㇀乚,丿
18,18,18,丸,⿻九丶,丿
19,19,19,乓,⿱丘丶,丿
20,20,20,乒,⿱丘丿,丿
21,21,21,乔,⿱⿱丿⿻一人&CDP-8BF5;,丿
22,22,22,乑,乑,丿
23,23,23,丿,丿,丿
24,24,24,乀,乀,丿
25,25,25,九,九,丿
26,26,26,乃,⿹𠄎丿,丿
27,27,27,乄,乄,丿
28,28,28,乂,⿻丿乀,丿
29,29,29,乁,乁,丿
30,30,30,乊,⿱丿丷,丿
31,31,31,久,久,丿
32,32,32,乆,⿰⿰𠃋丿乀,丿
33,33,33,么,⿱丿厶,丿
34,34,34,亇,⿱𠂊亅,丿
35,35,35,丹,丹,丿
36,36,36,乏,⿱丿⿱丶&CDP-8661;,丿
37,37,37,乌,⿹&CDP-89DE;一,丿
38,38,38,册,册,丿
39,39,39,玍,⿸丿⿱一⿱十一,丿
40,40,40,乎,乎,丿
41,41,41,乐,乐,丿
42,42,42,丘,丘,丿
43,43,43,乍,乍,丿
44,44,44,乕,⿸𠂆&CDP-89ED;,丿
45,45,45,乖,⿻⿱丿十⿰&CDP-8BC5;⿺乚丿,丿
46,46,46,乗,乗,丿
47,47,47,鳬,⿹&CDP-8CBB;几,丿
48,48,48,乘,⿻⿱丿木⿰&CDP-8BC5;⿺乚丿,丿
49,49,49,丞,⿱⿱乛⿲㇇亅&CDP-85BF;一,一
50,50,50,丟,⿱⿱一⿱十一厶,一
51,51,51,両,⿱一&CDP-8564;,一
52,52,52,丙,⿱一⿻冂人,一
53,53,53,丠,⿱⿰&CDP-8BC5;⿺乚丿一,一
54,54,54,襾,襾,一
55,55,55,一,一,一
56,56,56,丁,⿱一亅,一
57,57,57,丂,⿱一㇉,一
58,58,58,丆,⿱一丿,一
59,59,59,七,⿻㇀乚,一
60,60,60,丄,⿱丨一,一
61,61,61,丅,⿱一丨,一
62,62,62,万,⿱一&CDP-8B6C;,一
63,63,63,丌,⿱一&CDP-8BF5;,一
64,64,64,上,⿱⺊一,一
65,65,65,三,⿱一⿱一一,一
66,66,66,下,⿱一卜,一
67,67,67,与,⿹&CDP-8BBF;一,一
68,68,68,丈,丈,一
69,69,69,不,⿱一&CDP-8665;,一
70,70,70,丑,丑,一
71,71,71,丒,⿱⿹⿹𠃌丿丿一,一
