Item,Condition,RefChar,Char,Wang_Rad,Wang_IDS,Levenshtein_Distance
1,corr,意,意,心,⿱⿱⿱&CDP-8BAE;一日心,0.0
1,diffT,意,疑,疋,⿰⿱⿺乚丿⿱𠂉⿻一人⿱龴疋,0.7
1,sameT,意,裔,衣,⿱⿱⿱丶一𧘇⿵冂⿱八口,0.5555555555555556
1,noP,意,廉,广,⿸广⿱⿱丷一&CDP-8CDE;,0.5714285714285714
2,corr,觉,觉,见,⿳𭕄冖见,0.0
2,diffT,觉,绝,纟,⿰纟⿱𠂊巴,1.0
2,sameT,觉,珏,王,⿰⿱一⿱十一⿷⿱一⿱十一丶,1.0
2,noP,觉,药,艹,⿱艹⿰纟⿹勹丶,1.0
3,corr,意,意,心,⿱⿱⿱&CDP-8BAE;一日心,0.0
3,diffT,意,疑,疋,⿰⿱⿺乚丿⿱𠂉⿻一人⿱龴疋,0.7
3,sameT,意,裔,衣,⿱⿱⿱丶一𧘇⿵冂⿱八口,0.5555555555555556
3,noP,意,廉,广,⿸广⿱⿱丷一&CDP-8CDE;,0.5714285714285714
4,corr,厉,厉,厂,⿸厂⿱一&CDP-8B6C;,0.0
4,diffT,厉,礼,礻,⿰礻乚,1.0
4,sameT,厉,立,立,⿱&CDP-8BAE;一,0.5
4,noP,厉,史,口,史,1.0
5,corr,地,地,土,⿰⿱十一也,0.0
5,diffT,地,邸,阝,⿰⿱氏丶阝,0.6
5,sameT,地,弟,弓,⿱丷⿹⿻弓丨丿,0.8333333333333334
5,noP,地,合,口,⿱⿱人一口,0.6
6,corr,计,计,讠,⿰讠十,0.0
6,diffT,计,吉,口,⿱⿱十一口,0.75
6,sameT,计,忌,心,⿱己心,1.0
6,noP,计,手,手,手,1.0
7,corr,味,味,口,⿰口未,0.0
7,diffT,味,违,辶,⿺辶韦,1.0
7,sameT,味,畏,田,⿳田一&CDP-8CC6;,1.0
7,noP,味,齿,齿,齿,1.0
8,corr,廉,廉,广,⿸广⿱⿱丷一&CDP-8CDE;,0.0
8,diffT,廉,链,钅,⿰钅⿺辶车,1.0
8,sameT,廉,联,耳,⿰耳⿱丷⿱一⿻一人,0.625
8,noP,廉,意,心,⿱⿱⿱&CDP-8BAE;一日心,0.5714285714285714
9,corr,止,止,止,止,0.0
9,diffT,止,汁,氵,⿰氵十,1.0
9,sameT,止,旨,日,⿱⿺乚丿日,1.0
9,noP,止,木,木,木,1.0
10,corr,齿,齿,齿,齿,0.0
10,diffT,齿,蚩,虫,⿱⿱⿻凵丨一虫,1.0
10,sameT,齿,侈,亻,⿰亻⿱⿴𠂊丶⿴𠂊丶,1.0
10,noP,齿,兔,刀,⿷⿱𠂊&CDP-8BCB;丶,1.0
11,corr,宜,宜,宀,⿱宀且,0.0
11,diffT,宜,易,日,⿱日⿹勹&CDP-89A6;,0.75
11,sameT,宜,怡,忄,⿰忄⿱厶口,0.75
11,noP,宜,诃,讠,⿰讠⿹⿱一亅口,0.8
